Bloco;Bairro;Data;Desfile;Local da Concentraçao;Percurso;Público Estimado
Confraria da Bebidinha;Abolição;03/02/2018;16:00;Rua da Abolição 671;Saindo da Rua da Abolição, 671 (Calçada do Banco Itaú) pela Rua da Abolição até a esquina da Rua Mario Carpenter e retorno pela Rua Abolição até o local da Concentração;1000
Vem Que Eu Te Abraço;Padre Miguel;11/02/2018;14:00;Rua da Caridade 116;Saindo da Rua da Caridade, Rua Figueiredo e voltando para a Rua da Caridade;800
Banda da Barra;Barra da Tijuca;04/02/2018;15:00;Em frente ao condomíno Beton (Bondinho da Barra);Saindo do Bondinho da Barra até a Praça do Ó;50000
Buda da Barra;Barra da Tijuca;11/02/2018;13:00;Em frente ao condomíno Beton (Bondinho da Barra);Saindo do Bondinho da Barra até a Praça do Ó;1000
Primeiro Amor;São Conrado;27/01/2018;10:00;Em frente ao Golfe Clube;Saindo do Golfe Clube até o final;6000
Vira-Lata;São Conrado;27/01/2018;14:00;Em frente ao Golfe Clube;Saindo do Golfe Clube até o final;5000
Carmelitas;Santa Teresa;13/02/2018;10:00;Largo do Curvelo;Saindo do largo do Curvelo, seguindo até altura do Nº200 da Rua Joaquim Murtinho;800
TPM - Turma da Paz de Madureira;Madureira;20/01/2018;17:30;Em frente ao Império Serrano;Segue a Estrada do Portela até antes do Shopping Madureira.;500
Banda Amigos da Barra;Barra da Tijuca;28/01/2018;15:00;Av. Lucio Costa Barramares;Segue na Av. Lucio Costa até a altura da Praça do Ó;5000
Embalo de Santa Tereza;Santa Teresa;13/02/2018;16:30;Largo do França;Segue na Rua Alm. Alexandrino até o Largo do Vista Alegre seguindo até o Largo dos Guimarães onde dispersa.;800
Banda do Andaraí;Andaraí;13/02/2018;18:00;Rua Maxwell 542;Segue na Rua Maxwell até o Largo do Verdun.;500
Bloco Carnavalesco Infantil Sementes do Samba;Vila isabel;10/02/2018;18:00;Av. 28 de Setembro 382;Segue pela 28 de Setembro até a esquina da Rua Visconde de Abaeté;600
Banda Du Rio;Copacabana;11/02/2018;10:00;Posto 6 de Copacabana;Segue pela Av. Atlântica até altura da Rua Miguel Lemos;5000
Ih, É Carnaval!;Urca;02/02/2018;20:00;Av. pasteur 250;Segue pela Av. Pasteur anumero 250 até a Praça Medalha Milagrosa;5000
Bloco da Gold / Giro do Arar;Centro;13/02/2018;10:00;Av. Pres. Antonio Carlos em frente ao Terminal Menezes Cortes;Segue pela Av. Pres. Antonio Carlos até o Ministerio da Fazenda.;5000
Bloco da Preta;Centro;04/02/2018;10:00;Av. Presidente Antonio Carlos em Frente ao Menezes Cortes;Segue pela Av. Pres. Antonio Carlos até o Ministerio da Fazenda.;500000
Bloco das Poderosas;Centro;17/02/2018;09:00;Av. Pres. Antonio Carlos em frente ao Terminal Menezes Cortes;Segue pela Av. Pres. Antonio Carlos até o Ministerio da Fazenda.;200000
Cordão da Bola Preta;Centro;10/02/2018;09:00;Av. Presidente Antonio Carlos em Frente ao Menezes Cortes;Segue pela Av. Pres. Antonio Carlos até o Ministerio da Fazenda.;1500000
Os 20 de Ouro do Mestre Odilon;Ilha do Governador;20/01/2018;16:00;Estrada do Rio Jequiá (Posto Necker Pinto);Segue pela Estrada Rio Jequiá, Rua Maldonado, e Pça Iaiá Garcia;1500
Quem Me Viu Mentiu;Ilha do Governador;11/02/2018;16:00;Praça Jerusalem;Segue pela Praia da Bica Av. Alm. Alves Câmara Junior até o numero 986;2000
Bloco Afro Zimbauê da Ilha;Ilha do Governador;10/02/2018;16:00;Praça da Freguesia;Segue pela Praia da Guanabara e Pça Nossa Senhora da Ajuda.;300
Mistura de Santa;Santa Teresa;03/02/2018;18:00;Mirante do Rato Molhado;Segue pela Rua Aprazível até dispersar na lateral do Castelo São Valentim na parte alta da Rua Almirante Alexandrino.;500
